symptoms,label,disease
white discoloration tail it happens mostly at night fish showing brething faster than normal,6,Viral diseases White tail disease
for 2 days swollen belly fluid filled belly slow swimming after water change other fish look normal,1,Bacterial diseases - Aeromoniasis
problem is fish opens mouth repeatedly hiding in corner less active than usual fish was moved to new tank it happens mostly at night,2,Bacterial gill disease
sometimes floating near surface feed was changed recently,2,Bacterial gill disease
since yesterday fluffy fungus near wound less active than usual started recently,3,Fungal diseases Saprolegniasis
today i saw fuzzy white patches white hairy patch fish looks tired water smells bad started recently,3,Fungal diseases Saprolegniasis
problem is tail tissue damaged tail turning white breathing faster than normal oxygen level may be low started recently,6,Viral diseases White tail disease
today i saw tail turning white tail fin becoming pale hiding in corner sometimes floating near surface started recently...,6,Viral diseases White tail disease
bloated abdomen color looks dull i noticed weak swimming with white tail white patch starting from tail...,6,Viral diseases White tail disease
SINCE YESTERDAY FISH LOOKS BLOATED AND WEAK NOT EATING PROPERLY AMMONIA MAY BE HIGH OTHER FISH LOOK NORMAL,1,Bacterial diseases - Aeromoniasis
red streaks around tail fish looks stressed,0,Bacterial Red disease
mucus on gills breathing difficulty fish looks tired tiny salt like dots what disease this,2,Bacterial gill disease
red ulcers on body color looks dull,0,Bacterial Red disease
my fish has bloody red spots red sores near fins fish looks stressed breathing faster than normal other fish look normal,0,Bacterial Red disease
problem is popeye it happens mostly at night new fish added recently,1,Bacterial diseases - Aeromoniasis
started recently i noticed loss of appetite red ulcers on body,0,Bacterial Red disease
active and eating well for 2 days what disease is this,4,Healthy Fish
bloated abdomen fins are clamped,1,Bacterial diseases - Aeromoniasis
clamped fins rubbing body on tank wall loss of appetite feed was changed recently other fish look normal...,5,Parasitic diseases
STAYING AT BOTTOM RUBBING BODY ON TANK WALL,5,Parasitic diseases
my fish has tail rot like white area tail end looks dead fish looks stressed started recently...,6,Viral diseases White tail disease
skin looks reddish and damaged red wounds on belly for 2 days fins are clamped,0,Bacterial Red disease
SMOOTH SCALES,4,Healthy Fish
my fish has body ulcers bloated abdomen hiding in corner new fish added recently tiny salt like dots please help,1,Bacterial diseases - Aeromoniasis
tail fin becoming pale cotton wool growth what disease is this oxygen level may be low white discoloration on tail in my aquarium?,6,Viral diseases White tail disease
small blood marks on scales loss of appetite,0,Bacterial Red disease
Water is cloudy staying at bottom fish opens mouth repeatedly since yesterday breathing difficulty does not react much,2,Bacterial gill disease
no brething issue fish swimming normally only one fish affected for 2 days,4,Healthy Fish
for 2 days tiny salt like dots parasites attached to skin sometimes floating surface loss of appitite fish was moved to new tank tail turning white getting worse,5,Parasitic diseases
"skin looks reddish, damaged sometimes floating near surface",0,Bacterial Red disease
fins are clamped ammonia may be high,6,Viral diseases White tail disease
since yesterday skin irritation fish keeps scratching breathing faster than normal started recently?,5,Parasitic diseases
today i saw milky white tail tail end looks dead weak movement slow swimming red wounds with swelling started recently,6,Viral diseases White tail disease
tank has algae does not react much?,3,Fungal diseases Saprolegniasis
inflamed red areas fish showing brown gill color fish opens mouth repeatedly fish looks tired started recently,2,Bacterial gill disease
my fish has stays near filter outlet swollen gills hiding in corner new fish added recently it happens mostly at night...,2,Bacterial gill disease
fish looks tired filter was off for few hours,5,Parasitic diseases
my fish has parasites attached to skin flashing behavior slow swimming gasping at water surface started recently,5,Parasitic diseases
my fish has inflamed red areas small blood marks scales not sure what happened...,0,Bacterial Red disease
does not react much started recently bleeding marks on skin inflamed red areas my fish has,0,Bacterial Red disease
feed was changed recently sometimes floating near surface?,1,Bacterial diseases - Aeromoniasis
my fish has tail rot like white area hiding in corner water is slightly dirty started recently...,6,Viral diseases White tail disease
in my aquarium loss of appetite swollen belly other fish look normal swollen belly,1,Bacterial diseases - Aeromoniasis
one fish has normal breathing sometimes stays still only one fish affected,4,Healthy Fish
white mold on fins today i saw it happens mostly at night red streaks around tail,3,Fungal diseases Saprolegniasis
healthy fins,4,Healthy Fish
today i saw deep skin ulcers does not react much loss of appetite small blood marks on scales,1,Bacterial diseases - Aeromoniasis
fish showing flashing behavior tiny salt like dots weak movement only one fish affected,5,Parasitic diseases
FEED WAS CHANGED RECENTLY RED ULCERS ON BODY TODAY I SAW IT HAPPENS MOSTLY AT NIGHT...,0,Bacterial Red disease
I NOTICED FLASHING BEHAVIOR BREATHING FASTER THAN NORMAL GREY WHITE FUNGUS WHAT DISEASE THIS,5,Parasitic diseases
scratching against rocks slow swimming,5,Parasitic diseases
bright body color eats a little slow but normal started recently...,4,Healthy Fish
For 2 days red wounds with swelling popeye color looks dull new fish added recently not sure what happened,1,Bacterial diseases - Aeromoniasis
fish showing clamped fins fish looks stressed not eating properly water smells bad only one fish affected,5,Parasitic diseases
RED SORES NEAR FINS FINS ARE CLAMPED...,0,Bacterial Red disease
clear eyes,4,Healthy Fish
since yesterday red wounds belly fins are clamped weak movement filter was off for few hours please help,0,Bacterial Red disease
fluid filled belly not eating properly today i saw deep skin ulcers is it serious,1,Bacterial diseases - Aeromoniasis
"Skin looks reddish, damaged does not react much",0,Bacterial Red disease
does not react much water temperature changed,3,Fungal diseases Saprolegniasis
red sores near fins color looks dull,0,Bacterial Red disease
fungal growth skin white cotton like growth does not react much fish looks tired getting worse,3,Fungal diseases Saprolegniasis
IS IT SERIOUS TAIL TISSUE DAMAGED LOSS OF APPETITE FOR 2 DAYS,6,Viral diseases White tail disease
sometimes floating near surface after water change,2,Bacterial gill disease
since yesterday water smells bad does not react much bloody red spots started recently,0,Bacterial Red disease
flashing behavior slow swimming...,5,Parasitic diseases
started recently popeye fish looks bloated and weak problem is pH may be unstable,1,Bacterial diseases - Aeromoniasis
bleeding marks on skin red ulcers body it happens mostly at night loss of appetite i noticed,0,Bacterial Red disease
white taill tip milky white tail it happens mostly at night staying at bottom staying at bottom my fish has,6,Viral diseases White tail disease
fins are clamped fish keeps scratching inflamed red areas it happens mostly at night rubbing body on tank wall today i saw...,5,Parasitic diseases
mold growth on tail staying at bottom,3,Fungal diseases Saprolegniasis
not sure what happened fish looks healthy no breathing issue for 2 days tank algae,4,Healthy Fish
white tail tip sometimes floating near surface?,6,Viral diseases White tail disease
rubbing body on tank wall does not react much,5,Parasitic diseases
wite teil tip slow swimming getting worse,6,Viral diseases White tail disease
other fish look normal my fish has fungus on body slow swimming fuzzy white patches...,3,Fungal diseases Saprolegniasis
in my aquarium tail fin becoming pale weak swimming with white tail breathing faster than normal not eating properly getting worse,6,Viral diseases White tail disease
ACTIVE AND EATING WELL NO BREATHING ISSUE OTHER FISH LOOK NORMAL,4,Healthy Fish
slow swimming water is cloudy?,5,Parasitic diseases
i noticed whit mold on fins mold like growth on tail does not react much fish was moved to new tank red streaks around tail only one fish affected,3,Fungal diseases Saprolegniasis
parasites attached to skin loss of appetite not sure what happened,5,Parasitic diseases
today i saw tail end looks dead white discoloration on tail fish looks stressed water temperature changed bloated abdomen what diesase is this,6,Viral diseases White tail disease
white tail tip getting worse brown gill color loss of appetite,2,Bacterial gill disease
fish showing pale gills stays near filter outlet less active than usual oxygen level may be low what disease is this,2,Bacterial gill disease
fish showing bloated abdomen fish looks tired only one fish affected?,1,Bacterial diseases - Aeromoniasis
milky white tail abnormal swimming...,6,Viral diseases White tail disease
not eating properly new fish added recently,1,Bacterial diseases - Aeromoniasis
problem is rapid gill movement fins are clamped breathing faster than normal after water change other fish look normal,2,Bacterial gill disease
I noticed rubbing body on tank wall white spots on body staying at bottom does not react much other fish look normal,5,Parasitic diseases
HEALTHY FINS,4,Healthy Fish
filter was off for few hours fins are clamped?,0,Bacterial Red disease
one fish has fluid filled belly body ulcers mold like growth on tail,1,Bacterial diseases - Aeromoniasis
i noticed milky white tail tail turning white abnormal swimming loss of appitite pH may be unstable is it serious,6,Viral diseases White tail disease
bloated abdomen pH may be unstable it happens mostly at night,1,Bacterial diseases - Aeromoniasis
getting worse fish was moved to new tank gasping at water surface slow swimming not eating properly swollen gills tiny salt like dots,2,Bacterial gill disease
fish opens mouth repeatedly for 2 days not sure what happened ammonia may be high weak movement,2,Bacterial gill disease
sometimes floating near surface fuzzy white patches,3,Fungal diseases Saprolegniasis
problem is red streaks around taill small blood marks on scales loss of appetite fish looks stressed only one fish affected,0,Bacterial Red disease
